0,1,5,142.0,32.0
0,2,5,855.0,90.0
0,3,4,146.0,34.0
0,4,4,220.0,100.0
0,5,4,228.0,46.0
0,6,4,456.0,101.0
0,7,3,67.0,23.0
0,8,3,97.0,51.0
0,9,3,106.0,16.0
0,10,3,124.0,40.0
0,11,3,128.0,57.0
0,12,3,131.0,41.0
0,13,3,131.0,53.0
0,14,3,152.0,102.0
0,15,3,154.0,52.0
0,16,3,161.0,60.0
0,17,3,173.0,62.0
0,18,3,192.0,98.0
0,19,3,204.0,70.0
0,20,3,221.0,71.0
0,21,3,231.0,57.0
0,22,3,247.0,83.0
0,23,3,253.0,75.0
0,24,3,295.0,74.0
0,25,3,296.0,103.0
0,26,3,298.0,96.0
0,27,3,302.0,106.0
0,28,3,319.0,107.0
0,29,2,24.0,12.0
0,30,2,26.0,13.0
0,31,2,27.0,14.0
0,32,2,31.0,16.0
0,33,2,33.0,17.0
0,34,2,36.0,18.0
0,35,2,43.0,13.0
0,36,2,55.0,22.0
0,37,2,60.0,25.0
0,38,2,66.0,52.0
0,39,2,68.0,45.0
0,40,2,81.0,41.0
0,41,2,87.0,54.0
0,42,2,89.0,39.0
0,43,2,90.0,35.0
0,44,2,92.0,61.0
0,45,2,96.0,29.0
0,46,2,102.0,53.0
0,47,2,102.0,65.0
0,48,2,106.0,78.0
0,49,2,107.0,91.0
0,50,2,109.0,38.0
0,51,2,109.0,45.0
0,52,2,111.0,41.0
0,53,2,111.0,48.0
0,54,2,114.0,72.0
0,55,2,116.0,101.0
0,56,2,121.0,62.0
0,57,2,128.0,57.0
0,58,2,129.0,55.0
0,59,2,129.0,57.0
0,60,2,130.0,65.0
0,61,2,132.0,64.0
0,62,2,140.0,104.0
0,63,2,142.0,46.0
0,64,2,145.0,108.0
0,65,2,146.0,82.0
0,66,2,146.0,106.0
0,67,2,158.0,79.0
0,68,2,161.0,58.0
0,69,2,166.0,83.0
0,70,2,167.0,77.0
0,71,2,171.0,86.0
0,72,2,172.0,89.0
0,73,2,173.0,93.0
0,74,2,175.0,105.0
0,75,2,181.0,85.0
0,76,2,183.0,103.0
0,77,2,184.0,92.0
0,78,2,199.0,100.0
0,79,2,224.0,72.0
0,80,2,234.0,66.0
0,81,2,235.0,102.0
0,82,2,236.0,90.0
0,83,2,246.0,95.0
0,84,2,258.0,99.0
0,85,2,263.0,98.0
0,86,2,268.0,51.0
0,87,2,269.0,91.0
0,88,2,299.0,101.0
0,89,2,329.0,92.0
0,90,2,349.0,99.0
0,91,2,349.0,107.0
0,92,2,380.0,71.0
0,93,1,0.0,0.0
0,93,1,0.0,0.0
0,95,1,2.0,2.0
0,95,1,2.0,2.0
0,97,1,8.0,8.0
0,97,1,8.0,8.0
0,99,1,9.0,9.0
0,99,1,9.0,9.0
0,99,1,9.0,9.0
0,102,1,10.0,10.0
0,102,1,10.0,10.0
0,104,1,11.0,11.0
0,104,1,11.0,11.0
0,106,1,12.0,12.0
0,106,1,12.0,12.0
0,106,1,12.0,12.0
0,106,1,12.0,12.0
0,110,1,13.0,13.0
0,110,1,13.0,13.0
0,112,1,14.0,14.0
0,112,1,14.0,14.0
0,114,1,15.0,15.0
0,114,1,15.0,15.0
0,114,1,15.0,15.0
